Site ID,Reachability Status
CLRDU00530A,YES
CLRDU00531A,YES
CLRDU00532A,YES
CLRDU00533A,YES
CLRDU00534A,YES
CLRDU00535A,YES
CLRDU00536A,YES
CLRDU00538A,YES
CLRDU00539A,YES
CLRDU00540A,YES
CLRDU00541A,YES
CLRDU00542A,YES
CLRDU00543A,YES
CLRDU00546A,YES
CLRDU00547A,YES
CLRDU00549A,YES
CLRDU00550A,YES
CLRDU00551A,YES
CLRDU00552A,YES
CLRDU00554A,YES
CLRDU00555A,YES
CLRDU00556A,YES
CLRDU00557A,YES
CLRDU00558A,YES
CLRDU00559A,YES
CLRDU00560A,YES
CLRDU00561A,YES
CLRDU00562A,YES
CLRDU00563A,YES
CLRDU00564A,YES
CLRDU00565A,YES
CLRDU00566A,YES
CLRDU00567A,YES
CLRDU00568A,YES
CLRDU00569A,YES
CLRDU00570A,YES
CLRDU00571A,YES
CLRDU00572A,YES
CLRDU00573A,YES
CLRDU00574A,YES
CLRDU00575A,YES
CLRDU00577A,YES
CLRDU00578A,YES
CLRDU00580A,YES
CLRDU00581A,YES
CLRDU00582A,YES
CLRDU00583A,YES
CLRDU00584A,YES
CLRDU00585A,YES
CLRDU00586A,YES
CLRDU00587A,YES
CLRDU00588A,YES
CLRDU00589A,YES
CLRDU00590A,YES
CLRDU00591A,YES
CLRDU00592A,YES
CLRDU00593A,YES
CLRDU00597A,YES
CLRDU00598A,YES
CLRDU00599A,YES
CLRDU00600A,YES
CLRDU00601A,YES
CLRDU00602A,YES
CLRDU00603A,YES
CLRDU00604A,YES
CLRDU00605A,YES
CLRDU00607A,YES
CLRDU00608A,YES
CLRDU00610A,YES
CLRDU00611A,YES
CLRDU00612A,YES
CLRDU00613A,YES
CLRDU00614A,YES
CLRDU00615A,YES
CLRDU00616A,YES
CLRDU00617A,YES
CLRDU00618A,YES
CLRDU00620A,YES
CLRDU00621A,YES
CLRDU00622A,YES
CLRDU00623A,YES
CLRDU00624A,YES
CLRDU00625A,YES
CLRDU00626A,YES
CLRDU00627A,YES
CLRDU00628A,YES
CLRDU00636A,YES
CLRDU00637A,YES
CLRDU00638A,YES
CLRDU00639A,YES
CLRDU00641A,YES
CLRDU00642A,YES
CLRDU00643A,YES
CLRDU00644A,YES
CLRDU00646A,YES
CLRDU00647A,YES
CLRDU00648A,YES
CLRDU00655A,YES
CLRDU00656A,YES
CLRDU00659A,YES
CLRDU00661A,YES
CLRDU00662A,YES
CLRDU00664A,YES
CLRDU00666A,YES
CLRDU00668A,YES
CLRDU00672A,YES
CLRDU00673A,YES
CLRDU00674A,YES
CLRDU00675A,YES
CLRDU00676A,YES
CLRDU00677A,YES
CLRDU00678A,YES
CLRDU00679A,YES
CLRDU00681A,YES
CLRDU00682A,YES
CLRDU00684A,YES
CLRDU00685A,YES
CLRDU00686A,YES
CLRDU00687A,YES
CLRDU00688A,YES
CLRDU00689A,YES
CLRDU00690A,YES
CLRDU00694A,YES
CLRDU00699A,YES
